	Item	Quantity	Expiration_Date	Cost_Per_Unit	Date
50	Cheese	361	2025-01-25	45	2025-01-23
51	Samosa	155	2025-02-05	15	2025-01-23
52	Kachori	301	2025-01-30	15	2025-01-23
53	Dhokla	180	2025-02-02	15	2025-01-23
54	Vada Pav	396	2025-02-01	15	2025-01-23
55	Pani Puri	112	2025-02-03	15	2025-01-23
56	Cookies	197	2025-02-04	10	2025-01-23
57	Masala Puri	319	2025-02-04	15	2025-01-23
58	Samosa Chaat	475	2025-02-06	15	2025-01-23
59	Small Mixture	186	2025-02-01	10	2025-01-23
60	Tomato Ketchup	440	2025-03-10	10	2025-01-23
61	Milk Bread	473	2025-02-04	20	2025-01-24
62	Brown Bread	348	2025-02-03	20	2025-01-24
63	Multigrain Bread	481	2025-02-02	20	2025-01-24
64	Pav Bun	381	2025-02-02	20	2025-01-24
65	Plain Cake	344	2025-01-31	150	2025-01-24
66	Chilli Sauce	268	2025-02-23	10	2025-01-24
67	Rasgulla	458	2025-01-25	35	2025-01-24
68	Jalebi	185	2025-01-26	35	2025-01-24
69	Soy Sauce	111	2025-03-08	10	2025-01-24
70	Water	432	2025-03-20	10	2025-01-24
71	Chocolate Cake	188	2025-02-04	150	2025-01-24
72	Vanilla Cake	417	2025-02-06	150	2025-01-24
73	Black Forest Cake	486	2025-02-05	150	2025-01-24
74	Pineapple Cake	175	2025-02-04	150	2025-01-24
75	Red Velvet Cake	352	2025-02-04	150	2025-01-24
76	Milk	135	2025-01-26	45	2025-01-24
77	Curd	251	2025-01-25	45	2025-01-24
78	Paneer	230	2025-01-26	45	2025-01-24
79	Butter	236	2025-01-27	45	2025-01-24
80	Cheese	472	2025-01-26	45	2025-01-24
81	Samosa	401	2025-02-07	15	2025-01-24
82	Kachori	298	2025-01-31	15	2025-01-24
83	Dhokla	427	2025-02-01	15	2025-01-24
84	Vada Pav	86	2025-02-03	15	2025-01-24
85	Pani Puri	381	2025-02-05	15	2025-01-24
86	Cookies	115	2025-02-07	10	2025-01-24
87	Masala Puri	113	2025-02-06	15	2025-01-24
88	Samosa Chaat	108	2025-01-31	15	2025-01-24
89	Small Mixture	131	2025-02-02	10	2025-01-24
90	Tomato Ketchup	98	2025-03-06	10	2025-01-24
91	Milk Bread	469	2025-02-06	20	2025-01-25
92	Brown Bread	284	2025-02-07	20	2025-01-25
93	Multigrain Bread	138	2025-02-04	20	2025-01-25
94	Pav Bun	80	2025-02-06	20	2025-01-25
95	Plain Cake	60	2025-02-07	150	2025-01-25
96	Chilli Sauce	111	2025-03-23	10	2025-01-25
97	Rasgulla	165	2025-01-27	35	2025-01-25
98	Jalebi	477	2025-01-28	35	2025-01-25
99	Soy Sauce	394	2025-03-17	10	2025-01-25
100	Water	84	2025-03-02	10	2025-01-25
101	Chocolate Cake	233	2025-02-08	150	2025-01-25
102	Vanilla Cake	215	2025-02-04	150	2025-01-25
103	Black Forest Cake	365	2025-02-06	150	2025-01-25
104	Pineapple Cake	482	2025-02-05	150	2025-01-25
105	Red Velvet Cake	267	2025-02-04	150	2025-01-25
106	Milk	239	2025-01-26	45	2025-01-25
107	Curd	460	2025-01-28	45	2025-01-25
108	Paneer	174	2025-01-27	45	2025-01-25
109	Butter	475	2025-01-27	45	2025-01-25
110	Cheese	377	2025-01-28	45	2025-01-25
111	Samosa	276	2025-02-08	15	2025-01-25
112	Kachori	223	2025-02-02	15	2025-01-25
113	Dhokla	353	2025-02-04	15	2025-01-25
114	Vada Pav	195	2025-02-08	15	2025-01-25
115	Pani Puri	339	2025-02-01	15	2025-01-25
116	Cookies	94	2025-02-01	10	2025-01-25
117	Masala Puri	175	2025-02-05	15	2025-01-25
118	Samosa Chaat	285	2025-02-07	15	2025-01-25
119	Small Mixture	248	2025-02-06	10	2025-01-25
120	Tomato Ketchup	372	2025-03-03	10	2025-01-25
121	Milk Bread	421	2025-02-09	20	2025-01-26
122	Brown Bread	141	2025-02-08	20	2025-01-26
123	Multigrain Bread	269	2025-02-07	20	2025-01-26
124	Pav Bun	421	2025-02-02	20	2025-01-26
125	Plain Cake	73	2025-02-06	150	2025-01-26
126	Chilli Sauce	295	2025-03-24	10	2025-01-26
127	Rasgulla	312	2025-01-28	35	2025-01-26
128	Jalebi	320	2025-01-28	35	2025-01-26
129	Soy Sauce	136	2025-03-03	10	2025-01-26
130	Water	178	2025-03-02	10	2025-01-26
131	Chocolate Cake	410	2025-02-09	150	2025-01-26
132	Vanilla Cake	227	2025-02-06	150	2025-01-26
133	Black Forest Cake	482	2025-02-06	150	2025-01-26
134	Pineapple Cake	72	2025-02-07	150	2025-01-26
135	Red Velvet Cake	299	2025-02-09	150	2025-01-26
136	Milk	185	2025-01-27	45	2025-01-26
137	Curd	264	2025-01-27	45	2025-01-26
138	Paneer	264	2025-01-28	45	2025-01-26
139	Butter	221	2025-01-28	45	2025-01-26
140	Cheese	206	2025-01-28	45	2025-01-26
141	Samosa	206	2025-02-02	15	2025-01-26
142	Kachori	106	2025-02-04	15	2025-01-26
143	Dhokla	344	2025-02-03	15	2025-01-26
144	Vada Pav	175	2025-02-07	15	2025-01-26
145	Pani Puri	229	2025-02-02	15	2025-01-26
146	Cookies	353	2025-02-03	10	2025-01-26
147	Masala Puri	484	2025-02-08	15	2025-01-26
148	Samosa Chaat	438	2025-02-08	15	2025-01-26
149	Small Mixture	442	2025-02-06	10	2025-01-26
150	Tomato Ketchup	323	2025-03-13	10	2025-01-26
151	Milk Bread	215	2025-02-03	20	2025-01-27
152	Brown Bread	147	2025-02-04	20	2025-01-27
153	Multigrain Bread	229	2025-02-04	20	2025-01-27
154	Pav Bun	378	2025-02-10	20	2025-01-27
155	Plain Cake	423	2025-02-07	150	2025-01-27
156	Chilli Sauce	303	2025-03-25	10	2025-01-27
157	Rasgulla	302	2025-01-30	35	2025-01-27
158	Jalebi	499	2025-01-28	35	2025-01-27
159	Soy Sauce	232	2025-03-13	10	2025-01-27
160	Water	297	2025-03-23	10	2025-01-27
161	Chocolate Cake	51	2025-02-07	150	2025-01-27
162	Vanilla Cake	334	2025-02-03	150	2025-01-27
163	Black Forest Cake	230	2025-02-07	150	2025-01-27
164	Pineapple Cake	91	2025-02-09	150	2025-01-27
165	Red Velvet Cake	282	2025-02-09	150	2025-01-27
166	Milk	67	2025-01-28	45	2025-01-27
167	Curd	430	2025-01-29	45	2025-01-27
168	Paneer	60	2025-01-30	45	2025-01-27
169	Butter	307	2025-01-28	45	2025-01-27
170	Cheese	495	2025-01-30	45	2025-01-27
171	Samosa	199	2025-02-09	15	2025-01-27
172	Kachori	60	2025-02-03	15	2025-01-27
173	Dhokla	302	2025-02-03	15	2025-01-27
174	Vada Pav	63	2025-02-06	15	2025-01-27
175	Pani Puri	338	2025-02-03	15	2025-01-27
176	Cookies	469	2025-02-04	10	2025-01-27
177	Masala Puri	82	2025-02-10	15	2025-01-27
178	Samosa Chaat	438	2025-02-03	15	2025-01-27
179	Small Mixture	194	2025-02-06	10	2025-01-27
180	Tomato Ketchup	382	2025-03-04	10	2025-01-27
181	Milk Bread	168	2025-02-10	20	2025-01-28
182	Brown Bread	64	2025-02-07	20	2025-01-28
183	Multigrain Bread	266	2025-02-06	20	2025-01-28
184	Pav Bun	108	2025-02-11	20	2025-01-28
185	Plain Cake	244	2025-02-09	150	2025-01-28
186	Chilli Sauce	468	2025-03-09	10	2025-01-28
187	Rasgulla	335	2025-01-30	35	2025-01-28
188	Jalebi	468	2025-01-31	35	2025-01-28
189	Soy Sauce	81	2025-03-08	10	2025-01-28
190	Water	141	2025-03-14	10	2025-01-28
191	Chocolate Cake	463	2025-02-09	150	2025-01-28
192	Vanilla Cake	412	2025-02-06	150	2025-01-28
193	Black Forest Cake	374	2025-02-08	150	2025-01-28
194	Pineapple Cake	87	2025-02-10	150	2025-01-28
195	Red Velvet Cake	54	2025-02-10	150	2025-01-28
196	Milk	480	2025-01-30	45	2025-01-28
197	Curd	335	2025-01-29	45	2025-01-28
198	Paneer	439	2025-01-31	45	2025-01-28
199	Butter	124	2025-01-30	45	2025-01-28
200	Cheese	439	2025-01-31	45	2025-01-28
201	Samosa	215	2025-02-06	15	2025-01-28
202	Kachori	456	2025-02-07	15	2025-01-28
203	Dhokla	338	2025-02-07	15	2025-01-28
204	Vada Pav	84	2025-02-05	15	2025-01-28
205	Pani Puri	200	2025-02-06	15	2025-01-28
206	Cookies	396	2025-02-11	10	2025-01-28
207	Masala Puri	204	2025-02-05	15	2025-01-28
208	Samosa Chaat	122	2025-02-11	15	2025-01-28
209	Small Mixture	217	2025-02-04	10	2025-01-28
210	Tomato Ketchup	479	2025-03-03	10	2025-01-28
211	Milk Bread	243	2025-02-12	20	2025-01-29
212	Brown Bread	461	2025-02-07	20	2025-01-29
213	Multigrain Bread	92	2025-02-11	20	2025-01-29
214	Pav Bun	151	2025-02-06	20	2025-01-29
215	Plain Cake	222	2025-02-11	150	2025-01-29
216	Chilli Sauce	156	2025-03-16	10	2025-01-29
217	Rasgulla	136	2025-02-01	35	2025-01-29
218	Jalebi	438	2025-01-31	35	2025-01-29
219	Soy Sauce	201	2025-03-23	10	2025-01-29
220	Water	118	2025-03-14	10	2025-01-29
221	Chocolate Cake	465	2025-02-05	150	2025-01-29
222	Vanilla Cake	207	2025-02-11	150	2025-01-29
223	Black Forest Cake	329	2025-02-05	150	2025-01-29
224	Pineapple Cake	100	2025-02-05	150	2025-01-29
225	Red Velvet Cake	450	2025-02-08	150	2025-01-29
226	Milk	109	2025-01-31	45	2025-01-29
227	Curd	80	2025-01-30	45	2025-01-29
228	Paneer	125	2025-02-01	45	2025-01-29
229	Butter	367	2025-01-30	45	2025-01-29
230	Cheese	320	2025-01-30	45	2025-01-29
231	Samosa	362	2025-02-05	15	2025-01-29
232	Kachori	57	2025-02-10	15	2025-01-29
233	Dhokla	196	2025-02-08	15	2025-01-29
234	Vada Pav	128	2025-02-08	15	2025-01-29
235	Pani Puri	476	2025-02-12	15	2025-01-29
236	Cookies	70	2025-02-10	10	2025-01-29
237	Masala Puri	56	2025-02-07	15	2025-01-29
238	Samosa Chaat	302	2025-02-07	15	2025-01-29
239	Small Mixture	240	2025-02-08	10	2025-01-29
240	Tomato Ketchup	257	2025-03-01	10	2025-01-29
241	Milk Bread	214	2025-02-08	20	2025-01-30
242	Brown Bread	252	2025-02-07	20	2025-01-30
243	Multigrain Bread	223	2025-02-08	20	2025-01-30
244	Pav Bun	467	2025-02-10	20	2025-01-30
245	Plain Cake	350	2025-02-06	150	2025-01-30
246	Chilli Sauce	429	2025-03-13	10	2025-01-30
247	Rasgulla	270	2025-01-31	35	2025-01-30
248	Jalebi	290	2025-02-02	35	2025-01-30
249	Soy Sauce	128	2025-03-27	10	2025-01-30
250	Water	420	2025-03-07	10	2025-01-30
251	Chocolate Cake	456	2025-02-10	150	2025-01-30
252	Vanilla Cake	77	2025-02-13	150	2025-01-30
253	Black Forest Cake	168	2025-02-13	150	2025-01-30
254	Pineapple Cake	474	2025-02-08	150	2025-01-30
255	Red Velvet Cake	293	2025-02-09	150	2025-01-30
256	Milk	453	2025-02-02	45	2025-01-30
257	Curd	226	2025-02-01	45	2025-01-30
258	Paneer	98	2025-01-31	45	2025-01-30
259	Butter	61	2025-02-02	45	2025-01-30
260	Cheese	81	2025-01-31	45	2025-01-30
261	Samosa	437	2025-02-06	15	2025-01-30
262	Kachori	271	2025-02-10	15	2025-01-30
263	Dhokla	355	2025-02-08	15	2025-01-30
264	Vada Pav	272	2025-02-07	15	2025-01-30
265	Pani Puri	189	2025-02-12	15	2025-01-30
266	Cookies	291	2025-02-13	10	2025-01-30
267	Masala Puri	99	2025-02-11	15	2025-01-30
268	Samosa Chaat	380	2025-02-09	15	2025-01-30
269	Small Mixture	299	2025-02-12	10	2025-01-30
270	Tomato Ketchup	493	2025-03-21	10	2025-01-30
271	Milk Bread	291	2025-02-08	20	2025-01-31
272	Brown Bread	446	2025-02-09	20	2025-01-31
273	Multigrain Bread	391	2025-02-08	20	2025-01-31
274	Pav Bun	406	2025-02-08	20	2025-01-31
275	Plain Cake	482	2025-02-11	150	2025-01-31
276	Chilli Sauce	107	2025-03-23	10	2025-01-31
277	Rasgulla	114	2025-02-02	35	2025-01-31
278	Jalebi	173	2025-02-01	35	2025-01-31
279	Soy Sauce	480	2025-03-28	10	2025-01-31
280	Water	333	2025-03-11	10	2025-01-31
281	Chocolate Cake	467	2025-02-10	150	2025-01-31
282	Vanilla Cake	471	2025-02-07	150	2025-01-31
283	Black Forest Cake	60	2025-02-08	150	2025-01-31
284	Pineapple Cake	487	2025-02-07	150	2025-01-31
285	Red Velvet Cake	117	2025-02-14	150	2025-01-31
286	Milk	293	2025-02-02	45	2025-01-31
287	Curd	190	2025-02-02	45	2025-01-31
288	Paneer	297	2025-02-01	45	2025-01-31
289	Butter	253	2025-02-01	45	2025-01-31
290	Cheese	193	2025-02-01	45	2025-01-31
291	Samosa	343	2025-02-12	15	2025-01-31
292	Kachori	95	2025-02-12	15	2025-01-31
293	Dhokla	434	2025-02-07	15	2025-01-31
294	Vada Pav	360	2025-02-08	15	2025-01-31
295	Pani Puri	410	2025-02-12	15	2025-01-31
296	Cookies	63	2025-02-07	10	2025-01-31
297	Masala Puri	486	2025-02-07	15	2025-01-31
298	Samosa Chaat	438	2025-02-12	15	2025-01-31
299	Small Mixture	381	2025-02-13	10	2025-01-31
300	Tomato Ketchup	275	2025-03-15	10	2025-01-31
301	Milk Bread	407	2025-02-14	20	2025-02-01
302	Brown Bread	143	2025-02-15	20	2025-02-01
303	Multigrain Bread	125	2025-02-14	20	2025-02-01
304	Pav Bun	305	2025-02-09	20	2025-02-01
305	Plain Cake	272	2025-02-11	150	2025-02-01
306	Chilli Sauce	401	2025-03-27	10	2025-02-01
307	Rasgulla	269	2025-02-02	35	2025-02-01
308	Jalebi	253	2025-02-04	35	2025-02-01
309	Soy Sauce	284	2025-03-15	10	2025-02-01
310	Water	499	2025-03-19	10	2025-02-01
311	Chocolate Cake	374	2025-02-08	150	2025-02-01
312	Vanilla Cake	375	2025-02-12	150	2025-02-01
313	Black Forest Cake	87	2025-02-13	150	2025-02-01
314	Pineapple Cake	307	2025-02-09	150	2025-02-01
315	Red Velvet Cake	316	2025-02-11	150	2025-02-01
316	Milk	86	2025-02-02	45	2025-02-01
317	Curd	307	2025-02-03	45	2025-02-01
318	Paneer	93	2025-02-02	45	2025-02-01
319	Butter	98	2025-02-02	45	2025-02-01
320	Cheese	233	2025-02-02	45	2025-02-01
321	Samosa	262	2025-02-09	15	2025-02-01
322	Kachori	266	2025-02-14	15	2025-02-01
323	Dhokla	219	2025-02-10	15	2025-02-01
324	Vada Pav	114	2025-02-12	15	2025-02-01
325	Pani Puri	147	2025-02-09	15	2025-02-01
326	Cookies	428	2025-02-09	10	2025-02-01
327	Masala Puri	367	2025-02-12	15	2025-02-01
328	Samosa Chaat	394	2025-02-12	15	2025-02-01
329	Small Mixture	370	2025-02-15	10	2025-02-01
330	Tomato Ketchup	239	2025-03-11	10	2025-02-01
331	Milk Bread	350	2025-02-15	20	2025-02-02
332	Brown Bread	484	2025-02-16	20	2025-02-02
333	Multigrain Bread	206	2025-02-14	20	2025-02-02
334	Pav Bun	347	2025-02-14	20	2025-02-02
335	Plain Cake	471	2025-02-12	150	2025-02-02
336	Chilli Sauce	411	2025-03-25	10	2025-02-02
337	Rasgulla	211	2025-02-03	35	2025-02-02
338	Jalebi	160	2025-02-04	35	2025-02-02
339	Soy Sauce	463	2025-03-11	10	2025-02-02
340	Water	127	2025-03-28	10	2025-02-02
341	Chocolate Cake	103	2025-02-09	150	2025-02-02
342	Vanilla Cake	448	2025-02-09	150	2025-02-02
343	Black Forest Cake	441	2025-02-16	150	2025-02-02
344	Pineapple Cake	428	2025-02-09	150	2025-02-02
345	Red Velvet Cake	477	2025-02-16	150	2025-02-02
346	Milk	231	2025-02-04	45	2025-02-02
347	Curd	57	2025-02-03	45	2025-02-02
348	Paneer	249	2025-02-04	45	2025-02-02
349	Butter	225	2025-02-03	45	2025-02-02
350	Cheese	465	2025-02-05	45	2025-02-02
351	Samosa	111	2025-02-15	15	2025-02-02
352	Kachori	94	2025-02-09	15	2025-02-02
353	Dhokla	381	2025-02-16	15	2025-02-02
354	Vada Pav	163	2025-02-16	15	2025-02-02
355	Pani Puri	482	2025-02-15	15	2025-02-02
356	Cookies	241	2025-02-15	10	2025-02-02
357	Masala Puri	387	2025-02-16	15	2025-02-02
358	Samosa Chaat	208	2025-02-13	15	2025-02-02
359	Small Mixture	122	2025-02-16	10	2025-02-02
360	Tomato Ketchup	391	2025-04-01	10	2025-02-02
361	Milk Bread	242	2025-02-13	20	2025-02-03
362	Brown Bread	385	2025-02-10	20	2025-02-03
363	Multigrain Bread	148	2025-02-11	20	2025-02-03
364	Pav Bun	277	2025-02-13	20	2025-02-03
365	Plain Cake	459	2025-02-16	150	2025-02-03
366	Chilli Sauce	107	2025-03-11	10	2025-02-03
367	Rasgulla	327	2025-02-05	35	2025-02-03
368	Jalebi	449	2025-02-05	35	2025-02-03
369	Soy Sauce	65	2025-03-14	10	2025-02-03
370	Water	377	2025-03-30	10	2025-02-03
371	Chocolate Cake	245	2025-02-13	150	2025-02-03
372	Vanilla Cake	186	2025-02-13	150	2025-02-03
373	Black Forest Cake	432	2025-02-17	150	2025-02-03
374	Pineapple Cake	241	2025-02-12	150	2025-02-03
375	Red Velvet Cake	212	2025-02-17	150	2025-02-03
376	Milk	152	2025-02-06	45	2025-02-03
377	Curd	364	2025-02-06	45	2025-02-03
378	Paneer	187	2025-02-05	45	2025-02-03
379	Butter	111	2025-02-06	45	2025-02-03
380	Cheese	86	2025-02-06	45	2025-02-03
381	Samosa	180	2025-02-15	15	2025-02-03
382	Kachori	374	2025-02-12	15	2025-02-03
383	Dhokla	243	2025-02-10	15	2025-02-03
384	Vada Pav	354	2025-02-11	15	2025-02-03
385	Pani Puri	368	2025-02-14	15	2025-02-03
386	Cookies	107	2025-02-15	10	2025-02-03
387	Masala Puri	81	2025-02-11	15	2025-02-03
388	Samosa Chaat	495	2025-02-10	15	2025-02-03
389	Small Mixture	58	2025-02-17	10	2025-02-03
390	Tomato Ketchup	250	2025-03-14	10	2025-02-03
391	Milk Bread	297	2025-02-11	20	2025-02-04
392	Brown Bread	342	2025-02-13	20	2025-02-04
393	Multigrain Bread	147	2025-02-15	20	2025-02-04
394	Pav Bun	132	2025-02-11	20	2025-02-04
395	Plain Cake	315	2025-02-12	150	2025-02-04
396	Chilli Sauce	370	2025-03-28	10	2025-02-04
397	Rasgulla	302	2025-02-07	35	2025-02-04
398	Jalebi	391	2025-02-06	35	2025-02-04
399	Soy Sauce	66	2025-03-22	10	2025-02-04
400	Water	453	2025-03-24	10	2025-02-04
401	Chocolate Cake	420	2025-02-14	150	2025-02-04
402	Vanilla Cake	446	2025-02-12	150	2025-02-04
403	Black Forest Cake	268	2025-02-16	150	2025-02-04
404	Pineapple Cake	362	2025-02-17	150	2025-02-04
405	Red Velvet Cake	211	2025-02-12	150	2025-02-04
406	Milk	207	2025-02-06	45	2025-02-04
407	Curd	200	2025-02-05	45	2025-02-04
408	Paneer	160	2025-02-05	45	2025-02-04
409	Butter	153	2025-02-07	45	2025-02-04
410	Cheese	104	2025-02-07	45	2025-02-04
411	Samosa	292	2025-02-15	15	2025-02-04
412	Kachori	106	2025-02-11	15	2025-02-04
413	Dhokla	423	2025-02-14	15	2025-02-04
414	Vada Pav	371	2025-02-14	15	2025-02-04
415	Pani Puri	384	2025-02-18	15	2025-02-04
416	Cookies	265	2025-02-16	10	2025-02-04
417	Masala Puri	94	2025-02-16	15	2025-02-04
418	Samosa Chaat	67	2025-02-16	15	2025-02-04
419	Small Mixture	434	2025-02-16	10	2025-02-04
420	Tomato Ketchup	290	2025-03-29	10	2025-02-04
421	Milk Bread	168	2025-02-15	20	2025-02-05
422	Brown Bread	448	2025-02-15	20	2025-02-05
423	Multigrain Bread	236	2025-02-12	20	2025-02-05
424	Pav Bun	337	2025-02-18	20	2025-02-05
425	Plain Cake	190	2025-02-14	150	2025-02-05
426	Chilli Sauce	490	2025-03-28	10	2025-02-05
427	Rasgulla	177	2025-02-08	35	2025-02-05
428	Jalebi	288	2025-02-06	35	2025-02-05
429	Soy Sauce	193	2025-03-31	10	2025-02-05
430	Water	413	2025-03-18	10	2025-02-05
431	Chocolate Cake	150	2025-02-14	150	2025-02-05
432	Vanilla Cake	168	2025-02-19	150	2025-02-05
433	Black Forest Cake	454	2025-02-13	150	2025-02-05
434	Pineapple Cake	75	2025-02-13	150	2025-02-05
435	Red Velvet Cake	445	2025-02-14	150	2025-02-05
436	Milk	466	2025-02-08	45	2025-02-05
437	Curd	383	2025-02-06	45	2025-02-05
438	Paneer	91	2025-02-06	45	2025-02-05
439	Butter	360	2025-02-06	45	2025-02-05
440	Cheese	276	2025-02-07	45	2025-02-05
441	Samosa	461	2025-02-13	15	2025-02-05
442	Kachori	441	2025-02-16	15	2025-02-05
443	Dhokla	448	2025-02-19	15	2025-02-05
444	Vada Pav	94	2025-02-18	15	2025-02-05
445	Pani Puri	359	2025-02-19	15	2025-02-05
446	Cookies	172	2025-02-14	10	2025-02-05
447	Masala Puri	214	2025-02-15	15	2025-02-05
448	Samosa Chaat	483	2025-02-17	15	2025-02-05
449	Small Mixture	260	2025-02-16	10	2025-02-05
450	Tomato Ketchup	401	2025-03-08	10	2025-02-05
451	Milk Bread	124	2025-02-19	20	2025-02-06
452	Brown Bread	485	2025-02-20	20	2025-02-06
453	Multigrain Bread	133	2025-02-16	20	2025-02-06
454	Pav Bun	493	2025-02-13	20	2025-02-06
455	Plain Cake	468	2025-02-20	150	2025-02-06
456	Chilli Sauce	71	2025-03-12	10	2025-02-06
457	Rasgulla	390	2025-02-09	35	2025-02-06
458	Jalebi	125	2025-02-08	35	2025-02-06
459	Soy Sauce	87	2025-03-28	10	2025-02-06
460	Water	248	2025-03-19	10	2025-02-06
461	Chocolate Cake	397	2025-02-18	150	2025-02-06
462	Vanilla Cake	175	2025-02-18	150	2025-02-06
463	Black Forest Cake	154	2025-02-17	150	2025-02-06
464	Pineapple Cake	103	2025-02-13	150	2025-02-06
465	Red Velvet Cake	371	2025-02-17	150	2025-02-06
466	Milk	431	2025-02-07	45	2025-02-06
467	Curd	185	2025-02-09	45	2025-02-06
468	Paneer	402	2025-02-07	45	2025-02-06
469	Butter	253	2025-02-07	45	2025-02-06
470	Cheese	101	2025-02-08	45	2025-02-06
471	Samosa	88	2025-02-20	15	2025-02-06
472	Kachori	345	2025-02-17	15	2025-02-06
473	Dhokla	325	2025-02-13	15	2025-02-06
474	Vada Pav	216	2025-02-18	15	2025-02-06
475	Pani Puri	251	2025-02-19	15	2025-02-06
476	Cookies	117	2025-02-13	10	2025-02-06
477	Masala Puri	263	2025-02-17	15	2025-02-06
478	Samosa Chaat	274	2025-02-19	15	2025-02-06
479	Small Mixture	278	2025-02-13	10	2025-02-06
480	Tomato Ketchup	83	2025-03-11	10	2025-02-06
481	Milk Bread	107	2025-02-14	20	2025-02-07
482	Brown Bread	284	2025-02-19	20	2025-02-07
483	Multigrain Bread	328	2025-02-18	20	2025-02-07
484	Pav Bun	160	2025-02-20	20	2025-02-07
485	Plain Cake	379	2025-02-19	150	2025-02-07
486	Chilli Sauce	68	2025-03-15	10	2025-02-07
487	Rasgulla	290	2025-02-08	35	2025-02-07
488	Jalebi	354	2025-02-08	35	2025-02-07
489	Soy Sauce	257	2025-03-31	10	2025-02-07
490	Water	77	2025-03-13	10	2025-02-07
491	Chocolate Cake	88	2025-02-15	150	2025-02-07
492	Vanilla Cake	145	2025-02-21	150	2025-02-07
493	Black Forest Cake	276	2025-02-14	150	2025-02-07
494	Pineapple Cake	281	2025-02-19	150	2025-02-07
495	Red Velvet Cake	467	2025-02-16	150	2025-02-07
496	Milk	73	2025-02-09	45	2025-02-07
497	Curd	421	2025-02-08	45	2025-02-07
498	Paneer	421	2025-02-09	45	2025-02-07
499	Butter	113	2025-02-08	45	2025-02-07
500	Cheese	263	2025-02-10	45	2025-02-07
501	Samosa	167	2025-02-17	15	2025-02-07
502	Kachori	271	2025-02-19	15	2025-02-07
503	Dhokla	273	2025-02-21	15	2025-02-07
504	Vada Pav	210	2025-02-19	15	2025-02-07
505	Pani Puri	140	2025-02-15	15	2025-02-07
506	Cookies	88	2025-02-16	10	2025-02-07
507	Masala Puri	191	2025-02-16	15	2025-02-07
508	Samosa Chaat	235	2025-02-20	15	2025-02-07
509	Small Mixture	425	2025-02-16	10	2025-02-07
510	Tomato Ketchup	293	2025-03-19	10	2025-02-07
511	Milk Bread	411	2025-02-17	20	2025-02-08
512	Brown Bread	272	2025-02-22	20	2025-02-08
513	Multigrain Bread	207	2025-02-16	20	2025-02-08
514	Pav Bun	251	2025-02-16	20	2025-02-08
515	Plain Cake	231	2025-02-15	150	2025-02-08
516	Chilli Sauce	112	2025-03-26	10	2025-02-08
517	Rasgulla	448	2025-02-09	35	2025-02-08
518	Jalebi	263	2025-02-11	35	2025-02-08
